username,mention_count,roles,username_lower,is_known_bot,only_comments,high_volume,is_behavioral_bot,suspected_bot
acgtyrant,5,"['comment_authors', 'author', 'review_comment_authors']",acgtyrant,False,False,False,False,False
asoltysik,2,"['comment_authors', 'author']",asoltysik,False,False,False,False,False
paddyhoran,1,['comment_authors'],paddyhoran,False,True,False,True,True
geordi,1,['author'],geordi,False,False,False,False,False
lemairecarl,6,"['comment_authors', 'review_comment_authors', 'author']",lemairecarl,False,False,False,False,False
ikostrikov,1,['comment_authors'],ikostrikov,False,True,False,True,True
npuichigo,1,['comment_authors'],npuichigo,False,True,False,True,True
avmgithub,32,"['comment_authors', 'review_comment_authors', 'author']",avmgithub,False,False,False,False,False
achalddave,2,"['comment_authors', 'author']",achalddave,False,False,False,False,False
sakaia,3,"['comment_authors', 'author']",sakaia,False,False,False,False,False
rdp,1,['author'],rdp,False,False,False,False,False
yinghai,519,"['comment_authors', 'review_comment_authors', 'author']",yinghai,False,False,True,True,True
cattaneod,2,"['comment_authors', 'author']",cattaneod,False,False,False,False,False
ashnair1,1,['comment_authors'],ashnair1,False,True,False,True,True
makslevental,108,"['comment_authors', 'author', 'review_comment_authors']",makslevental,False,False,False,False,False
f0k,20,"['comment_authors', 'review_comment_authors', 'author']",f0k,False,False,False,False,False
xunhuang1995,1,['comment_authors'],xunhuang1995,False,True,False,True,True
martinraison,3,"['comment_authors', 'review_comment_authors', 'author']",martinraison,False,False,False,False,False
kkebo,2,"['comment_authors', 'author']",kkebo,False,False,False,False,False
pmitros,3,"['comment_authors', 'review_comment_authors', 'author']",pmitros,False,False,False,False,False
pajotarthur,2,"['comment_authors', 'author']",pajotarthur,False,False,False,False,False
stathius,1,['comment_authors'],stathius,False,True,False,True,True
xming521,1,['comment_authors'],xming521,False,True,False,True,True
theweiho,10,"['comment_authors', 'review_comment_authors', 'author']",theweiho,False,False,False,False,False
vguzov,3,"['comment_authors', 'author']",vguzov,False,False,False,False,False
brandondube,1,['comment_authors'],brandondube,False,True,False,True,True
cjsg,2,"['comment_authors', 'author']",cjsg,False,False,False,False,False
alshedivat,4,"['comment_authors', 'review_comment_authors', 'author']",alshedivat,False,False,False,False,False
t-vi,550,"['comment_authors', 'review_comment_authors', 'author']",t-vi,False,False,True,True,True
dillonalaird,1,['author'],dillonalaird,False,False,False,False,False
clintonyeb,1,['author'],clintonyeb,False,False,False,False,False
zy97140,4,"['comment_authors', 'review_comment_authors', 'author']",zy97140,False,False,False,False,False
Officium,5,"['comment_authors', 'author']",officium,False,False,False,False,False
PetrochukM,3,['comment_authors'],petrochukm,False,True,False,True,True
cossio,3,['comment_authors'],cossio,False,True,False,True,True
Randl,6,"['comment_authors', 'author']",randl,False,False,False,False,False
tranhungnghiep,1,['comment_authors'],tranhungnghiep,False,True,False,True,True
perone,5,"['comment_authors', 'author']",perone,False,False,False,False,False
jpuigcerver,2,"['review_comment_authors', 'author']",jpuigcerver,False,False,False,False,False
ritchie46,1,['author'],ritchie46,False,False,False,False,False
ahirner,5,"['author', 'comment_authors', 'review_comment_authors']",ahirner,False,False,False,False,False
Sarah20187,1,['comment_authors'],sarah20187,False,True,False,True,True
bheinzerling,1,['author'],bheinzerling,False,False,False,False,False
JaeDukSeo,1,['comment_authors'],jaedukseo,False,True,False,True,True
EthanSteinberg,12,"['comment_authors', 'review_comment_authors', 'author']",ethansteinberg,False,False,False,False,False
calvinleenyc,4,"['comment_authors', 'author']",calvinleenyc,False,False,False,False,False
ryanneph,1,['comment_authors'],ryanneph,False,True,False,True,True
acnokego,3,"['comment_authors', 'review_comment_authors', 'author']",acnokego,False,False,False,False,False
jma127,25,"['comment_authors', 'review_comment_authors', 'author']",jma127,False,False,False,False,False
